"Source","Target","Weight"
"Cre02.g112600","Cre02.g090150",0.245519098678521
"Cre03.g150400","Cre02.g090150",0.214886820027801
"Cre03.g172800","Cre02.g090150",0.175450215829475
"Cre03.g173000","Cre02.g090150",0.221192111123774
"Cre03.g200991","Cre02.g090150",0.246666683795071
"Cre04.g218450","Cre02.g090150",0.236672971920877
"Cre04.g224350","Cre02.g090150",0.218161722377923
"Cre04.g229000","Cre02.g090150",0.238762874278413
"Cre04.g230928","Cre02.g090150",0.221902825018875
"Cre05.g238100","Cre02.g090150",0.210620281163639
"Cre05.g244850","Cre02.g090150",0.220926914098466
"Cre06.g264400","Cre02.g090150",0.263605017135921
"Cre06.g270500","Cre02.g090150",0.24795235810574
"Cre06.g275150","Cre02.g090150",0.263709264184751
"Cre06.g278134","Cre02.g090150",0.178519382954691
"Cre06.g278228","Cre02.g090150",0.236611680745385
"Cre06.g300350","Cre02.g090150",0.177108961593719
"Cre06.g308450","Cre02.g090150",0.193825614490839
"Cre07.g314600","Cre02.g090150",0.270379074091817
"Cre07.g319550","Cre02.g090150",0.22490772061087
"Cre07.g323400","Cre02.g090150",0.22970093858483
"Cre07.g329882","Cre02.g090150",0.197847624995936
"Cre07.g331850","Cre02.g090150",0.261976858762239
"Cre07.g348100","Cre02.g090150",0.217266393610693
"Cre08.g370950","Cre02.g090150",0.230995164947499
"Cre08.g380763","Cre02.g090150",0.14773050585239
"Cre08.g385950","Cre02.g090150",0.157839966751301
"Cre09.g387060","Cre02.g090150",0.232106360165719
"Cre09.g390750","Cre02.g090150",0.147485493711667
"Cre09.g396289","Cre02.g090150",0.232333820022311
"Cre09.g400250","Cre02.g090150",0.204974556479017
"Cre10.g419350","Cre02.g090150",0.188151373123136
"Cre10.g448100","Cre02.g090150",0.2323385825802
"Cre10.g458900","Cre02.g090150",0.248537300601493
"Cre11.g469400","Cre02.g090150",0.168773193878157
"Cre11.g480079","Cre02.g090150",0.237806122504778
"Cre12.g489350","Cre02.g090150",0.199291458166441
"Cre12.g514300","Cre02.g090150",0.226128783801402
"Cre12.g535800","Cre02.g090150",0.208031598613252
"Cre12.g541750","Cre02.g090150",0.190282417783101
"Cre12.g553600","Cre02.g090150",0.240966524779041
"Cre12.g559700","Cre02.g090150",0.111706594524904
"Cre13.g568316","Cre02.g090150",0.268796921322675
"Cre13.g588800","Cre02.g090150",0.239894323962497
"Cre13.g602300","Cre02.g090150",0.178475557446223
"Cre14.g611517","Cre02.g090150",0.261034204102382
"Cre14.g625350","Cre02.g090150",0.260088951969895
"Cre16.g650300","Cre02.g090150",0.196321874115631
"Cre16.g654950","Cre02.g090150",0.242121263469306
"Cre16.g683250","Cre02.g090150",0.240167586693451
"Cre17.g709876","Cre02.g090150",0.220567085764366
"Cre17.g719522","Cre02.g090150",0.100595385566584
"Cre17.g736329","Cre02.g090150",0.172549792063768
"Cre17.g746147","Cre02.g090150",0.232068219598898
"Cre01.g004926","Cre02.g095102",0.134279287183587
"Cre01.g009500","Cre02.g095102",0.210561879293743
"Cre01.g010350","Cre02.g095102",0.171488084646505
"Cre01.g030650","Cre02.g095102",0.217009218414792
"Cre02.g090150","Cre02.g095102",0.211669164700223
"Cre02.g112600","Cre02.g095102",0.254850929111641
"Cre03.g150400","Cre02.g095102",0.130893027184093
"Cre03.g172800","Cre02.g095102",0.164732665971725
"Cre03.g173000","Cre02.g095102",0.189449059951406
"Cre03.g200991","Cre02.g095102",0.185479941161284
"Cre04.g218450","Cre02.g095102",0.163258616424456
"Cre04.g224350","Cre02.g095102",0.174078851079905
"Cre04.g229000","Cre02.g095102",0.216821579857551
"Cre04.g230928","Cre02.g095102",0.186404579543476
"Cre05.g238100","Cre02.g095102",0.156042442421566
"Cre05.g244850","Cre02.g095102",0.200751061792161
"Cre06.g264400","Cre02.g095102",0.188595557850886
"Cre06.g270500","Cre02.g095102",0.183179860297559
"Cre06.g275150","Cre02.g095102",0.189088110540879
"Cre06.g278134","Cre02.g095102",0.2280932677367
"Cre06.g278228","Cre02.g095102",0.20375610455483
"Cre06.g300350","Cre02.g095102",0.197554907548278
"Cre06.g308450","Cre02.g095102",0.127090265421271
"Cre07.g314600","Cre02.g095102",0.210397133885053
"Cre07.g319550","Cre02.g095102",0.222463712124903
"Cre07.g323400","Cre02.g095102",0.228779528182875
"Cre07.g329882","Cre02.g095102",0.148928001731425
"Cre07.g331850","Cre02.g095102",0.237732488185957
"Cre07.g348100","Cre02.g095102",0.221874180825224
"Cre08.g370950","Cre02.g095102",0.245919872131561
"Cre08.g380763","Cre02.g095102",0.14980225775386
"Cre08.g385950","Cre02.g095102",0.171932732385348
"Cre09.g387060","Cre02.g095102",0.180147427622642
"Cre09.g390750","Cre02.g095102",0.165840610634854
"Cre09.g396289","Cre02.g095102",0.198704630675393
"Cre09.g400250","Cre02.g095102",0.198950768702634
"Cre10.g419350","Cre02.g095102",0.15016809120147
"Cre10.g448100","Cre02.g095102",0.175564149117321
"Cre10.g458900","Cre02.g095102",0.228853206882794
"Cre11.g469400","Cre02.g095102",0.145444134912405
"Cre11.g480079","Cre02.g095102",0.219558807548552
"Cre12.g489350","Cre02.g095102",0.169240349852234
"Cre12.g514300","Cre02.g095102",0.223806439497777
"Cre12.g535800","Cre02.g095102",0.172604838062234
"Cre12.g541750","Cre02.g095102",0.179749967069024
"Cre12.g553600","Cre02.g095102",0.182502569810117
"Cre12.g559700","Cre02.g095102",0.109961938745399
"Cre13.g568316","Cre02.g095102",0.15898432564668
"Cre13.g588800","Cre02.g095102",0.245488043969349
"Cre13.g602300","Cre02.g095102",0.156645050658563
"Cre14.g611517","Cre02.g095102",0.233797796138814
"Cre14.g625350","Cre02.g095102",0.170212787489485
"Cre16.g650300","Cre02.g095102",0.168063909324835
"Cre16.g654950","Cre02.g095102",0.153475371220241
"Cre16.g683250","Cre02.g095102",0.189393465357935
"Cre17.g709876","Cre02.g095102",0.154498314520775
"Cre17.g719522","Cre02.g095102",0.170185703955082
"Cre17.g736329","Cre02.g095102",0.223826050773325
"Cre17.g746147","Cre02.g095102",0.17815926432112
"Cre01.g004926","Cre02.g112600",0.176904259813597
"Cre01.g009500","Cre02.g112600",0.249597308271387
"Cre01.g010350","Cre02.g112600",0.250626216737124
"Cre01.g030650","Cre02.g112600",0.246382764276991
"Cre02.g090150","Cre02.g112600",0.245519098678521
"Cre02.g095102","Cre02.g112600",0.254850929111641
"Cre03.g150400","Cre02.g112600",0.221642093910411
"Cre03.g172800","Cre02.g112600",0.19063026247244
"Cre03.g173000","Cre02.g112600",0.2456861826658
"Cre03.g200991","Cre02.g112600",0.228229498409636
"Cre04.g218450","Cre02.g112600",0.248135313149729
"Cre04.g224350","Cre02.g112600",0.256744903412364
"Cre04.g229000","Cre02.g112600",0.254191712209148
"Cre04.g230928","Cre02.g112600",0.236951810521705
"Cre05.g238100","Cre02.g112600",0.209798501702493
"Cre05.g244850","Cre02.g112600",0.253512733115684
"Cre06.g264400","Cre02.g112600",0.245521709146286
"Cre06.g270500","Cre02.g112600",0.250380073886458
"Cre06.g275150","Cre02.g112600",0.250585760622906
"Cre06.g278134","Cre02.g112600",0.221872015519022
"Cre06.g278228","Cre02.g112600",0.248687635213458
"Cre06.g300350","Cre02.g112600",0.204585092879744
"Cre06.g308450","Cre02.g112600",0.215884915100938
"Cre07.g314600","Cre02.g112600",0.225404043472981
"Cre07.g319550","Cre02.g112600",0.246319690670044
"Cre07.g323400","Cre02.g112600",0.251169193976797
"Cre07.g329882","Cre02.g112600",0.219522774405855
"Cre07.g331850","Cre02.g112600",0.278229417346384
"Cre07.g348100","Cre02.g112600",0.228942097219034
"Cre08.g370950","Cre02.g112600",0.251025821487882
"Cre08.g380763","Cre02.g112600",0.197021856377882
"Cre08.g385950","Cre02.g112600",0.192543287939862
"Cre09.g387060","Cre02.g112600",0.227265149776664
