"","SRR393780_FPKM","SRR393781_FPKM","SRR393782_FPKM","SRR393783_FPKM","SRR393784_FPKM","SRR393785_FPKM","SRR393786_FPKM","SRR393787_FPKM"
"Cre01.g000017",5.49292670306717,5.79762780854195,3.15438391906717,3.37665156761925,2.66455793136998,3.18512281081144,4.01388205424762,3.91405738637797
"Cre01.g000033",1.88566806817805,1.5365801338011,1.33112045400754,1.90940062380887,1.8873536968051,1.38595003792949,2.01169242161522,1.54853033517651
"Cre01.g000050",1.14047765399067,0.864353759981962,0.448768830165056,0.377958854193231,1.39066218327976,1.16318310822004,0.30613389074783,1.03652443332935
"Cre01.g000100",0.92031769431986,0.980129155915358,0.966500606864785,0.991504250190761,1.07612806921615,1.34023751928092,0.651389285382,0.932863201742103
"Cre01.g000150",3.3672200780343,3.24505597238834,4.02079552875356,3.970025339089,2.12726017761878,1.88392183506434,2.37537034415908,1.52641942410482
"Cre01.g000200",2.29257857990677,2.17128049779722,1.63229613835912,2.40370946301502,2.4521446868166,2.36365890316131,2.36773728476485,2.27327716136154
"Cre01.g000250",4.16298339202347,4.31857715379608,3.77505054148317,3.97164471149079,3.24692791108142,3.51361707062133,2.58021544619888,3.02948292321548
"Cre01.g000300",3.85751328713686,3.90878409197159,4.44757919654888,4.30264806196948,4.28315133929769,4.08444700456192,4.36906858835383,4.40452169463979
"Cre01.g000350",6.02614937222682,6.40793732530839,6.62171197714902,6.84320502059573,5.25625587320273,5.68527021025914,5.02903759842235,4.80024245051618
"Cre01.g000400",2.67454426398146,2.6699519712563,2.40557310057997,2.02060887279114,3.3190716181087,3.22625572776052,3.68291033625599,3.23032138821806
"Cre01.g000450",3.17770894498018,3.22392755926488,3.1227820348578,2.99782169018107,3.22967866509731,3.26919626354003,3.22503734076439,3.0498398388127
"Cre01.g000500",3.35854536274851,3.36454441852794,3.20670885636365,2.51836895511329,2.55013972549553,2.22197604068684,2.29157114417491,1.9869569625244
"Cre01.g000550",0.322951468238439,0.158993588391894,0,0,0.400049297842338,0.105530582943925,0,0.44192429473543
"Cre01.g000600",2.8527279931099,2.76408495827698,2.10081285496374,2.28092365987005,2.58178025558552,2.49327585365844,2.55834111410503,2.46347859865136
"Cre01.g000650",1.10306115633355,1.86310588617606,4.90573597766703,5.22630428768873,5.36115424129828,5.55908182888415,5.06904046465519,5.00963829780693
"Cre01.g000700",0.457217087974574,0.763131082189465,1.0516853187522,0.938742714113012,0.639237720972277,0.737185732633308,0.877207114101477,0.776370177606752
"Cre01.g000750",1.92671299644279,2.53882617726235,2.29731175843707,2.2724174121001,1.89222002970117,2.50087342136457,2.63035421202697,2.57790008179614
"Cre01.g000800",2.73796575641088,1.81329482483503,0,1.23183787903057,1.8980767525929,1.99103470546017,1.06309561683209,0.969018203575955
"Cre01.g000850",6.09314392158452,5.74822505823549,5.03724163585593,5.05378038321763,3.6859849867559,3.65046588113911,3.65140765558925,3.46413238400564
"Cre01.g000900",5.33750416256975,5.41169401436297,5.20463374118448,5.47838943390225,5.40580520549164,5.72599739477115,5.52794922568216,5.62680998431347
"Cre01.g000950",0.686608991362137,0.192454268905713,0.334380633022409,0.322525823871413,0.474912579583134,0.497102382741952,0.594669883699746,0.500294216598458
"Cre01.g001000",0.864098564834413,0.698622998544619,0.550481089588658,0.28342992794994,0.833549959456599,0.936764937684645,2.08498266971661,1.81391455419436
"Cre01.g001100",5.00920830707448,4.88227132411007,4.39716633831422,4.60753745508928,4.28513585057379,4.43429461795993,4.27954558286885,4.30881954504962
"Cre01.g001150",0.843575491509491,1.20060478994975,0.861602088821534,1.27881145723721,0.759137080773871,1.1456904964478,0.697900116552011,1.30090857149491
"Cre01.g001200",2.61854642903505,2.69105169705811,2.14766162974308,2.27900468441403,1.88121823484304,2.07967165539914,1.96093793165852,1.7967472483794
"Cre01.g001250",0.838988867227878,1.02706910130649,0.822474824406931,1.060109656932,0.78044449232154,0.987071965920624,0.296043848943434,0.597291837425955
"Cre01.g001300",0.338698236989935,0.596385621319023,0.477110498678256,0.641481291319126,0.980419473319713,0.807016879618649,0.644883484468395,0.904231278970177
"Cre01.g001350",1.67556755853473,1.35149264607299,0.953232454352189,1.19680845342655,1.32548427971904,1.24685800415667,0.617105671728094,1.52454014795281
"Cre01.g001400",1.19488132458386,1.04981893306724,1.56629885683042,0.928900871904563,1.89438319206279,1.74666963342702,3.11678891854308,3.25099642813943
"Cre01.g001450",1.10166352146553,1.29151515489068,0,1.22044140341051,0.688103353103741,1.25743310300358,0.981989246303108,2.1787305736666
"Cre01.g001501",0.976244842228807,0.864143742418976,0,0.772373013022924,0.697740909366928,0.790511828933346,0.557126743656196,0.863430246901993
"Cre01.g001550",4.00517539133194,4.46539335264953,3.63846777239997,4.09347566718297,3.32664807706254,3.51485447093706,3.2165433332416,3.0914341168572
"Cre01.g001600",1.63706765563129,2.37198533549638,1.957851467739,2.09388802414486,2.78303541392459,2.81194568542273,1.97206765709847,2.30697670145587
"Cre01.g001650",0.585237548355244,0.931282147692795,0.707187268563478,1.51115426579335,0.841781551721192,0.719954424495901,0.875098258062384,1.40917366687792
"Cre01.g001657",4.1447561184686,4.18665901720211,3.70841901997015,3.41861904878707,3.81027856758737,3.84264702404347,2.35123537862868,3.20486532623214
"Cre01.g001664",2.07792316159187,2.38672267179972,2.26994277517597,2.68693523114247,2.75736040506067,2.81488670549827,2.43065459845695,2.52389311064837
"Cre01.g001671",0.00032977537722919,6.81899664106349e-05,0.000796822754574667,0.000332714914722221,0.000290968016807383,0.131981743961413,0.000221637197764506,0.000251986519311373
"Cre01.g001678",2.67423238757723,2.66845728763316,3.38233800959916,3.09806241082947,3.24638528366721,2.67948009950545,2.86960297282669,2.9207620522938
"Cre01.g001685",4.27909980213375,4.76200325039366,4.84404914561892,5.24676149664032,5.29528221533731,5.5010123245543,4.90551938389093,5.3763494292582
"Cre01.g001700",1.54313949620995,2.17450868836805,1.38290514640635,1.93950117151082,1.52712039345895,1.79827867279215,1.09777258512902,1.5410488991164
"Cre01.g001750",4.71712254117773,4.58881056224512,3.45861429715534,3.24886116647812,2.69305868532307,2.77406803624028,1.9795607837151,2.62260945611058
"Cre01.g001800",2.01851311370113,2.02570567438301,1.9686400699737,2.01808219854138,2.09924133373889,2.16828901983118,2.32060598060908,2.0675044904344
"Cre01.g001950",2.70266419173984,2.06862954108677,1.71944194126195,1.8455382236093,1.78523247513168,1.72370271456177,2.11774158046885,2.17570981623375
"Cre01.g001983",5.64623179424125,5.5219772577848,6.35603285651109,6.09383902067712,4.83919874810547,4.78838816322669,5.26255342731929,4.85850822868846
"Cre01.g002050",2.42639895265028,2.39024945246763,3.33473701878585,3.70205906649228,1.9809977401903,2.04040502241491,2.25231270952469,2.17047632618926
"Cre01.g002100",2.49214288862639,1.84918663926639,1.95532768418324,2.08846728617153,1.6320308493702,1.17129651259924,1.04367346623876,1.01533342281014
"Cre01.g002150",0.392541641383436,1.24909334730832,0.00261676612600619,0.586168089909244,1.27392760326728,1.65659704678973,1.76743445794037,2.56804183623958
"Cre01.g002200",4.23992497813801,4.35073060534904,2.99753629914347,3.65227997110509,3.02604930858261,3.8190243444737,2.44629858361769,3.76283778193957
"Cre01.g002201",0.393322836903619,0.441316678245696,0.616134640794778,0.579398370630979,0,0.586705185176963,0,0.243135282540365
"Cre01.g002203",0,0,0,0.0886207417707938,0,0.249504807416092,0,0.35698663889977
"Cre01.g002227",2.31114559435931,1.82021981691752,1.55004858289189,1.42292726517486,1.08841300972673,1.53581906519816,0.794439157238797,1.50733797873222
"Cre01.g002234",2.3270865951556,1.44534002621221,0.97225224318172,1.37090078785182,1.87856448819872,1.59195222994969,1.13345831169199,1.61396533917673
